Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
1424,The B.D. Petit Parsee General Hospital Blood Bank,Maharashtra,Mumbai,Mumbai,131815,8872,226,1435,1950,1209,251,1815,1370,616,1465,"B.Petit Road, Cumballa Hill,  Mumbai",469336,9992417643,,Charity,YES,24x7
1425,V. N. Desai Municipal General Hospital Blood Bank,Maharashtra,Mumbai,Mumbai,106419,7573,1554,439,135,1195,959,1216,616,1459,1686,"T. P. S. II, 11th Road, Santacruz (E) Mumbai",422389,9566776672,,Government,YES,12x7
1426,West Coast Blood Bank,Maharashtra,Mumbai,Mumbai,61917,8286,769,235,1568,1606,1673,684,643,1108,1955,"Basement 101, Moon Building, 798, Mori Road, Mahim(W), Mumbai",225308,7002642323,westcoastbloodbank@gmail.com,Charity,YES,24x7
1427,M/s. Balasaheb Thackerey Blood Bank,Maharashtra,Mumbai,Mumbai,213328,6498,853,879,1226,951,365,1568,206,450,821,Mumbai,267980,9536993525,,Private,YES,24x7
1428,M/s. Pallavi Blood Bank,Maharashtra,Mumbai,Mumbai,240141,9142,125,1929,426,1120,868,1917,892,1865,2771,Mumbai,346084,8869539971,,Government,NO,24x7
1429,"ESI-PGIMSR, MGM Hospital Blood Bank",Maharashtra,Mumbai,Mumbai,216060,9752,1557,824,336,1931,1966,542,1275,1321,1409,Mumbai,371651,8757770637,,Charity,NO,24x7
1430,M/s Sion Blood Bank,Maharashtra,Mumbai,Mumbai,144463,7310,1988,1916,247,602,1143,1036,142,236,3051,Mumbai,421267,9469929522,,Government,NO,24x7
1431,Harkisandas  Marottamdas Hospital Blood Bank,Maharashtra,Mumbai,Mumbai,174085,10180,130,1385,1363,1796,1231,1732,1666,877,3818,Mumbai,342999,6949167189,,Government,YES,24x7
1432,Government Medical College Blood Bank Nagpur,Maharashtra,Nagpur,Nagpur,133730,6698,902,912,528,1186,387,1226,766,791,899,"Model Blood Bank, 2nd Floor, Hospital Building, Government Medical College & Hospital, Nagpur  ",299687,8956050334,gmchbbngp@gmail.com,Government,YES,24x7
1433,Super Speciality Hospital and Medical Post Graduate Institute Blood Bank,Maharashtra,Nagpur,Nagpur,213773,8056,876,1710,351,621,1828,868,743,1059,856,"Maenad Road, Near RST Cancer Hospital, Nagpur",463027,8302094403,,Charity,YES,12x7
1434,Indira Gandhi Medical College and Hospital Blood Bank,Maharashtra,Nagpur,Nagpur,126399,10409,1846,1397,1951,988,1162,766,1209,1090,1284,"IGMC Hospital, Central Avenue Road, Nagpur ",341066,9572276103,igmc@rediffmail.com,Charity,NO,24x7
1435,Daga Memorial Women Government Hospital Blood Bank,Maharashtra,Nagpur,Nagpur,26866,8041,2,979,985,1359,763,1217,1551,1185,852,"Gandhibag, Nagpur",310937,6342661070,msdaga_WomenHosp@redifmail.com,Private,YES,24x7
1436,Central India Institute of Haematology & Oncology&#39;s Blood & Blood Component Bank and Apheresis Unit,Maharashtra,Nagpur,Nagpur,156410,4802,90,1065,446,907,1473,57,669,95,2355,"Plot No-14/2, Park Corner, Bal Raj Marg, Near Loma Square, Dhantoli, Nagpur",341456,6890049957,,Government,YES,24x7
1437,Jeevan Jyoti Blood Bank and Component,Maharashtra,Nagpur,Nagpur,199506,9976,570,1223,1840,1950,310,1972,1852,259,2531,"J P Chamber, Madhav Nagar, Dakshin Ambakshari Road  Nagpur",441245,9217138701,jjbb21@hotmail.com,Government,NO,24x7
1438,Dr. Hegdewar Blood Bank,Maharashtra,Nagpur,Nagpur,45974,7905,1272,867,1093,1223,709,1682,456,603,1746,"2, Sitaram Smruti, West High Court Road, Laxmibhuvan Square, Audumbar Apartment, Dharmpeth, Nagpur ",206314,8138842174,hbbnagpur687@gmail.com,Private,NO,24x7
1439,Sainath Blood Bank,Maharashtra,Nagpur,Nagpur,162267,9056,301,1957,1318,366,1603,1012,782,1717,2608,"531,Jaiswal Building, Above R.K. Traders, Old shukrawari Road, Sakkardara Nagpur",303747,7279133993,sainathbloodbank@gmail.com,Charity,YES,24x7
1440,Ayush Blood Bank and component Lab,Maharashtra,Nagpur,Nagpur,35482,8379,997,757,1142,477,1395,65,1617,1929,2091,"9th Floor, A wing, 901-905, 910-912, Lokmat Building, Nagpur",212838,8760179256,ayush_bbc@rediffmail.com,Government,YES,12x7
1441,Lifeline Blood Bank Components and Apherisis Centre Blood Bank,Maharashtra,Nagpur,Nagpur,211611,7244,1380,1243,1585,1352,294,627,526,237,574,"Neeti Gaurav complex , 2nd Floor, Central Bazar Road, Lokmat Square, Ramdaspeth, Nagpur ",377652,6778129256,drwarbhe@gmail.com,Charity,YES,24x7
1442,Rainbow Blood Bank,Maharashtra,Nagpur,Nagpur,35549,9967,1036,1193,1310,1374,1795,986,952,1321,3998,"3rd Floor, 282, Rainbow Diagnostic Services Central Bazar Road, Ramdas Peth, Nagpur",306658,7369182919,rainbowbloodbank.nagpur@gmail.com,Private,YES,24x7
1443,"NKP Salve Institute of Medical Science and Research Center (Lata Mangeshkar Hospital), Blood Bank",Maharashtra,Nagpur,Nagpur,164884,10002,1369,1813,328,1392,1657,1992,737,714,3582,"5, YMCA Complex, Digdoh Hills, Hingna Road, Nagpur",451012,9551851660,,Government,NO,24x7
1444,Nandkishor Education Society Trust - Arpan Voluntary Blood Bank,Maharashtra,Nagpur,Nagpur,73277,8206,1307,1201,953,1336,306,862,609,1632,3813,Nagpur,286434,6622054641,,Charity,NO,24x7
1445,Dr. Shankarrao Chavan Government Medical College and Guru Govindsinghji Memorial Hospital Blood Bank,Maharashtra,Nanded,Nanded,112369,7795,1575,1629,156,179,555,1802,140,1759,872,"Vazirabad, Nanded ",231163,8142592677,gmcbbnanded@gmail.com,Government,NO,24x7
1446,Indian Red Cross Society Blood Bank,Maharashtra,Nanded,Nanded,198489,4705,1460,460,261,932,44,143,16,1389,4530,"Parsi Anjuman Complex, Vazirabad, Nanded      ",281080,6984860200,ircsnanded@gmail.com,Government,YES,24x7
1447,Golvalkar Guruji Blood Bank,Maharashtra,Nanded,Nanded,155952,4079,1184,79,350,180,478,1452,275,81,2288,"Plot No.2-12-407, Bandhaghat Road, Vazirabad, Nanded",319461,9227192856,,Government,YES,24x7
1448,Arpan Blood Bank,Maharashtra,Nanded,Nanded,110287,5570,1101,315,395,97,1681,693,492,796,2055,"2nd Floor, Dayma Complex, Doctor Lane, Ghamodia,Nanded",451668,9989054883,,Charity,YES,12x7
1449,Guru Gobindsinghji Blood Bank,Maharashtra,Nanded,Nanded,31941,6804,620,1619,1010,443,1553,137,991,431,2094,"Geeta Bhavan 1 & 2 Floor, House No 3-1-366, Near Government, Opposite to Ayurvedic College, Bus Stand Road, Vazirabad, Nanded          ",392095,9001841552,ggbloodbank@gmail.com,Charity,NO,24x7
1450,Nanded Blood Bank,Maharashtra,Nanded,Nanded,34401,7502,799,313,260,1459,1984,324,764,1599,4316,"Shivaji Nagar ,Opposite to Adhar Hospital, Nanded ",419344,7363157447,nandedbloodbank@gmail.com,Private,YES,24x7
1451,Hazur Saheb Blood Bank,Maharashtra,Nanded,Nanded,227294,7848,801,679,1090,512,1265,1266,433,1802,3251,"2nd Floor, Opposite to Bank of India, Sant Kripa Market, GG Road, Nanded ",206867,9802394044,shs.bloodbanknanded@gmail.com,Government,YES,24x7
1452,Civil Surgeon - District General Hospital Blood Bank,Maharashtra,Nandurbar,Nandurbar,33456,10190,1114,1396,1790,1246,1941,601,579,1523,892,"Nandurbar, Railway Station Road Survey No.406, Civil Hospital Compound,  Sakri Road, Near Collector Office Nandurbar  ",473412,7743081971,"rmochndb@gmail.com, dponandurbar@mahasacs.org",Government,NO,24x7
1453,Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ,Maharashtra,Nandurbar,Nandurbar,219896,9447,1836,1377,889,333,1602,1606,1163,641,4299,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey 
No. 67/3, Plot No. 3, Sahada, Nandurbar",222340,8151562872,bb_shahada@yahoo.com,Private,NO,24x7
1454,Jankalyan Rakta Pedhi,Maharashtra,Nandurbar,Nandurbar,110510,7008,364,1553,1406,1083,543,134,1364,561,2192,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar ",375849,9797240316,jankalyanbbndb@gmail.com ,Charity,YES,24x7
1455,Malegaon Blood Bank,Maharashtra,Nashik,Malegaon,239234,8000,1465,660,1519,1718,1471,739,367,61,3408,"2nd Floor, West End Complex, Satana Naka, Malegaon ",246908,9629366316,"malegaonb@gmail.com, ",Government,YES,24x7
1456,Seva Blood Bank,Maharashtra,Nashik,MALEGAON,30467,8653,1954,1321,1419,840,201,907,1538,473,4059,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik",348290,8294820305,sevabloodbankmalegaon@gmail.com,Charity,YES,12x7
1457,Roachabai Sugnomal Manwani - Cantonment General Hospital Blood Bank,Maharashtra,Nashik,Nashik,162855,8407,440,806,1541,1204,1522,1122,1270,502,2410,"Vadner Road, Devlali, Nashik",368057,6357560560,,Private,YES,24x7
1458,Metro Blood Bank - District (Civil) Hospital Nashik,Maharashtra,Nashik,Nashik,152177,7323,464,528,426,1370,1032,1565,1206,732,4538,"District - Civil Hospital Blood Bank, Near Thakkar Bazaar,  Trimbak Naka, Nashik",276366,6751083077,"civilbloodbanknsk@gmail.com, ",Government,NO,24x7
1459,Sainik Aspatal Military Hospital Blood Bank,Maharashtra,Nashik,Nashik,210363,9680,1952,918,1417,1567,1569,278,782,1197,2442,"Sainik Aspatal, Military Hospital, Deolali",283435,6540327468,,Charity,NO,24x7
1460,Ansar Blood Bank,Maharashtra,Nashik,Nashik,66764,7827,1533,545,771,504,1278,1744,494,958,2006,"1398/1, Islampura, Industrial Society Compound, Quidwai Road, Malegaon, Nasik",343961,8903392103,,Government,NO,24x7
1461,Arpan Blood Bank and Blood Component Laboratory and Research Centre,Maharashtra,Nashik,Nashik,178907,8669,660,1247,252,1722,1720,1772,27,1269,2986,"1st Floor, Office No.102/103, Dr. Athawale Chambers, Opposite to Gavkari Press Tilak Path, Nashik 
",385129,7748398499,,Government,YES,24x7
1462,Jankalyan Blood Bank,Maharashtra,Nashik,Nashik,210190,8158,914,1091,1036,391,1085,1371,297,1973,2653,"3, Shree Nagar, Old Gangapur Naka, Gangapur Road, Nashik
",229097,8999801605,rssjan_nsk@rediffmail.com,Government,YES,24x7
1463,NDMVPS Medical College and Hospital Blood Bank,Maharashtra,Nashik,Nashik,145829,10653,1776,1931,1878,1198,695,1864,185,1126,2231,At Post Adgaon Dist Nashik ,501984,7899831622,,Charity,YES,24x7
1464,Samta Blood Bank,Maharashtra,Nashik,Nashik,33582,5518,145,1464,729,208,89,351,771,1761,1339,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik 
",319595,6763888254,samtabloodbank@gmail.com,Charity,NO,12x7
1465,Sanjeevani Blood Bank,Maharashtra,Nashik,Nashik,216323,6814,1931,48,575,237,1692,651,638,1042,2889,"Nashik, Krushna-Chaya Bangla, Plot No. 10/11, Kurdukar Nagar, Behind Fame Theatre, Nashik Pune Road, Nashik ",410696,7691441509,,Private,YES,24x7
1466,Jijau Mahila Sevabhavi Sansthan Nashik Blood Bank and Transfusion Research institute Blood Bank,Maharashtra,Nashik,Nashik,121461,8198,1838,1157,1739,360,1352,667,712,373,792,"Ishwar Krupa Ganesh Nagar, Tidke Colony, Nashik ",417837,7542668546,,Government,YES,24x7
1467,The Santajee Educational and Medical foundation Trust - Jeevan  Blood Bank ,Maharashtra,Nashik,Nashik,183978,7790,808,1571,598,1497,257,1124,1553,382,435,"Suyojit City Center, G-11, 12, 13, S. No. 567/1/1 & 567/1/3 (CTS No. 7249 & FP No. 60) Mumbai Naka, Near Mahamarg Bus Stand, Nashik 
",506821,9790599057,,Government,NO,24x7
1468,SMBT Institute of Medical Science and Research Centre - Blood Bank and Component,Maharashtra,Nashik,Nashik,246136,10389,1279,1183,1607,1807,814,1568,687,1444,4011,"SMBT Institute of Medical Science & Research Centre, Blood Bank & Component,  Block-101, Ground Floor, ‘A’ Wing, New SMBT Hospital Building, Survey No. 470, Nandihills Appt., At Post-Dhamangaon, Ghoti, Igatpuri, Nashik
",386598,9830882821,,Private,NO,24x7
1469,Hindustan Aeronautics Limited Blood Bank,Maharashtra,Nashik,Nashik,210610,6174,124,386,938,1660,706,1039,506,815,1578,"HAL, Aircraft Division, HAL, In Front of GES HAL High School, Ojhar Township, Niphad, Nashik
",281065,9776354172,,Charity,YES,24x7
1470,J.D.C. Bytco Hospital Blood Bank,Maharashtra,Nashik,Nashik,140090,6062,750,519,567,755,1699,219,1472,81,1391,"1st Floor, Bytco Hospital, Nashik Road, Behind Durga Garden, Shahu Path, Nashik",479577,8632171275,,Government,YES,24x7
1471,Regional Referal Hospital Blood Bank,Maharashtra,Nashik,Nashik,257398,5078,204,1101,73,1138,1192,275,377,718,4400,"Medical Superintendent, Regional Referal Hospital (Superspeciality Hospital) Blood Bank, Nashik",379881,9991684358,,Charity,YES,12x7
1472,Shri Krishna Blood Bank,Maharashtra,Osmanabad,Omerga,70860,5856,1131,1108,122,302,1665,613,841,74,4743,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad  ",331212,9861800698,dr.dbpatange@yahoo.com,Private,YES,24x7
1473,"Civil Surgeon, General Hospital Blood Bank",Maharashtra,Osmanabad,Osmanabad,36494,9180,1378,835,1677,1009,140,1466,1120,1555,3492,"Civil Hospital Osmanabad, Tqand, Osmanabad ",490332,9537336353,"bloodbankosmanabad@gmail.com, cs_osmanabad1@rediffmail.com",Government,NO,24x7
1474,Civil Surgeon - District General Hospital Blood Bank,Maharashtra,Parbhani,Parbhani,11086,7461,1586,320,1035,1115,1168,1418,311,508,1062,"Blood Bank Civil Surgeon, District General Hospital Blood Bank, Subhash Road, Parbhani
",478996,8315267125,bloodbankghp@gmail.com,Charity,NO,24x7
1475,Kanthak Sevabhavi Sanstha - New Life Blood  Bank,Maharashtra,Parbhani,Parbhani,188438,8448,504,1964,1266,1241,308,111,1988,1066,3109,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani ",276696,9952024353,newlifebloodbank@gmail.com,Government,NO,24x7
1476,Indian Red Cross Society Blood Bank,Maharashtra,Pune,Baramati,120184,6828,50,1276,851,804,552,1651,43,1601,2050,"Indian Red Cross Society (IRCS), (Late Manikbai Chandulal Saraf) Blood Bank, Near Government Silver Jubilee Hospital, Patas Road, Baramati, Pune",427452,8424979366,ircsbbbaramati@gmail.com,Government,YES,24x7
1477,Pune Chest and General Hospital Blood Bank,Maharashtra,Pune,Pune,53881,10723,1501,1061,1179,1030,1248,1538,1762,1404,4152,"Aundh Cest Hospital, Aundh Camp, Pune",418612,9560840744,,Government,YES,24x7
1478,Sasoon Sarvopchar Hospital Blood Bank,Maharashtra,Pune,Pune,48452,9032,1385,122,945,872,1627,1902,679,1500,3646,"Ground Floor, Section 5, Opposite to Central Medical Stores, Station Road, Pune",474807,9186125857,bjmc.bloodbank@gmail.com,Charity,YES,24x7
1479,Armed Forces Blood Bank,Maharashtra,Pune,Pune,236312,8028,1198,919,1265,307,768,1725,913,933,4109,"Vanwadi Armed Force Medical College, Pune",505639,8160810157,,Charity,NO,12x7
1480,Jankalyan Raktapedhi Pune,Maharashtra,Pune,Pune,156225,8500,1640,475,1913,757,1217,161,1394,943,2348,"1003, Shukrawar Peth, Swargate - Saras Baugh Road, Near Natraj Hotel, Pune",476780,7052087572,janrakta@gmail.com,Private,YES,24x7
1481,Inlaks Budharani Hospital Blood Bank,Maharashtra,Pune,Pune,68787,8866,1976,1942,979,1380,596,157,1485,351,282,"7-9, Koregaon Park, Pune",339719,6906333046,,Government,YES,24x7
1482,Indian Serological Institute Blood Bank,Maharashtra,Pune,Pune,108186,6045,364,1032,1419,754,691,698,33,1054,1847,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune",238845,9841204650,isibloodbank@rediffmail.com,Government,NO,24x7
1483,Acharya Anandrushiji Blood Bank,Maharashtra,Pune,Pune,163988,7836,563,71,368,971,1667,1168,1627,1401,3446,"191-192, New Sadashiv Peth, S. M. Joshi Foundation Building, Near Patrakar Bhavan, Pune",301858,8792058302,,Private,NO,24x7
1484,Akshay Blood Bank,Maharashtra,Pune,Pune,85065,8793,1325,1375,968,557,1744,291,1991,542,239,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune",441808,9673048774,akshaybloodbankpune@gmail.com,Charity,YES,24x7
1485,Garware Blood Bank - Talegaon Rural Hospital,Maharashtra,Pune,Pune,223356,8401,457,509,657,1412,1711,561,1938,1156,1937,"Talegaon Dhabhade, Maval, Pune ",325288,9091268911,,Government,YES,24x7
1486,Jehangir Hospital Blood Bank,Maharashtra,Pune,Pune,20178,6333,999,1105,1632,171,239,262,347,1578,769,"32, Sasoon Road, Pune ",458238,8770024388,bloodbank@jehangirhospital.com,Charity,YES,12x7
1487,KEM Hospital Blood Bank,Maharashtra,Pune,Pune,253133,7920,1737,801,836,84,875,1361,934,1292,627,"Sardar Moodliar Road, Rastha Peth, Pune",216419,7164416191,,Private,YES,24x7
1488,Grant Medical Foundation A.H. Wadia Trust Blood Bank,Maharashtra,Pune,Pune,115980,7254,1082,830,439,807,1167,1706,589,634,1571,"40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune",369056,9672230907,,Government,NO,24x7
1489,Bharati Vidyapeeth Medical Foundation Blood Bank,Maharashtra,Pune,Pune,98231,6999,1720,169,1850,733,1083,88,557,799,3464,"Sector - 28, Dhankawadi, Pune Satara Road, Pune",411643,6697323192,,Charity,NO,24x7
1490,Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank,Maharashtra,Pune,Pune,86529,8003,1400,676,196,868,1298,1521,1885,159,2266,"Padmashree, Dr. D. Y. Patil Medical College Hospital, Sant Tukaram Nagar, Pimpari, Pune",341685,7291712766,,Government,NO,24x7
1491,Deenanath Mangeshkar Hospital Blood Bank,Maharashtra,Pune,Pune,64281,9751,1797,599,1033,1491,1431,1522,867,1011,3454,"Erandawane, Near Mhatre Bridge, Pune",249002,8415213911,,Government,YES,24x7
1492,Poona Serological Institute Blood Bank,Maharashtra,Pune,Pune,24736,6391,1285,504,224,1435,379,1652,617,295,3519,"C.T.S. No. 592, 3rd Floor, Dhanwantari Complex, Rasta Peth, Pune",426480,6516934859,,Government,YES,24x7
1493,Sahiyadari Speciality Hospital Blood Bank,Maharashtra,Pune,Pune,217691,7096,1360,1454,14,1029,612,393,407,1827,2373,"Kokoan Mitra Mandal Medical Port Trust&#39;s Sahiyadari Speciality Hospital Blood Bank, Plot No-30 C, Erandvane, Karve Road, Pune ",227104,7875636997,,Charity,YES,24x7
1494,Aditya Birla Memorial Hospital Blood Bank,Maharashtra,Pune,Pune,150074,8107,509,623,423,1760,1810,581,1846,555,3921,"Survey No:31, Near Morya Mangal Karyalay, Thergaon, Chinchwad, Pune ",483536,8068725847,,Charity,NO,12x7
1495,Rakesh Jain Memorial Blood Bank,Maharashtra,Pune,Pune,39082,3851,201,97,210,1458,579,369,246,691,4410,"Poona Hospital and Reserch Centre 27, Sadashiv Peth, Pune  ",488322,6881174919,,Private,YES,24x7
1496,Noble Hospital Blood Bank,Maharashtra,Pune,Pune,48217,8706,349,185,1324,1198,1861,1783,219,1787,781,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune  ",313982,8474896673,"skrcorporate@yahoo.co.uk, noblebloodbank@yahoo.in",Government,YES,24x7
1497,Smt Kashibai Navale General Hospital Blood Bank,Maharashtra,Pune,Pune,38922,7153,1037,779,1503,1398,343,99,386,1608,435,"Sr. No. 50/15 building NO.5 2nd Floor, Narhe, Ambegaon, Pune  ",465134,9296430753,,Government,NO,24x7
1498,Pimpari Serological Institute Blood Bank,Maharashtra,Pune,Pune,102083,7680,1050,385,213,1902,96,1672,688,1674,3632,"Esteem Tower, opposite K.S.B. Pump, Pune-Mumbai Highway, Kharalwadi, Pimpari ",430345,7005339505,psibbpimpri@gmail.com,Private,NO,24x7
1499,Chakan Blood Bank,Maharashtra,Pune,Pune,78205,6811,319,1918,622,414,397,1314,401,1426,3527,"Sr. No. 4976/1/2 Gate No. 2401, Yashwantnagar Ambethan Road. A/P Chakan, Khed, Pune ",208702,7382028838,,Charity,YES,24x7
1500,R.G Gholap Memorial Blood Bank,Maharashtra,Pune,Pune,65177,12051,1755,698,1988,1544,842,1876,1539,1809,4855,"Office No. 301, 3rd Floor Ashoka Centre, S. No - 47/14, Satara Road, Parvati, Pune",323202,6394956056,gholapbloodbank@gmail.com,Government,YES,24x7
1501,Kranti Mitra Mandal Charitable Trust Blood Bank,Maharashtra,Pune,Pune,197148,6384,418,270,1286,441,924,345,1044,1656,1198,"1st Floor PMT Buiding Gadital, Hadapsar, Pune ",388727,7611738465,,Charity,YES,12x7
1502,Krantiveer Chapekar Bandhu Blood Bank,Maharashtra,Pune,Pune,205213,8539,831,1123,1877,63,1493,1800,122,1230,2390,"Pimpri Chinchwad Mahanagar Palika Talera Hospital, Tanaji Nagar Chinchwad, Pune  ",395096,9585640728,,Private,YES,24x7
1503,The New Century Medical & Education Foundation Trust - NCORD Blood Bank & Aphaeresis Centre,Maharashtra,Pune,Pune,215461,7601,773,937,1251,799,1327,122,740,1652,3756,"NCORD Blood Bank and Aphaeresis centre, S. No. 241/2/1, Geet Ganga Building, Medipoint Hospital Lane, Baner, Pune",262609,8503507667,,Government,NO,24x7
1504,Ekta Apang Vikas Sanstha Blood Bank,Maharashtra,Pune,Pune,87361,6099,1645,583,33,390,252,436,1901,859,2861,"Office No. 17/18/19, 1st Floor, Sunshree Woods Commercial Complex, NIBM, Kondhwa, Haveli, Pune",482946,7314344099,,Charity,NO,24x7
1505,Chattrapati Shahu Maharaj Pratisthan,Maharashtra,Pune,Pune,171334,7699,207,1592,1489,383,1555,757,1609,107,2534,"S.No. 30, 4th floor, office no. 41, 402, 403, and 5th floor off 502, waris Heights, Pune-Satara Road, Dhankwadi, Pune",230720,7017222929,,Government,NO,24x7
1506,Chattrapati Shahu Maharaj Pratisthan Blood Bank,Maharashtra,Pune,Pune,74440,9198,1557,1293,1782,364,1332,501,1238,1131,1652,"S. No. 30, 4th Floor, Office No. 41, 402, 403, and 5th Floor off 502, Waris Heights, Pune - Satara Road, Dhankwadi, Pune",444738,6287658218,,Government,YES,24x7
1507,M/s. Vidyashree Charitable Trusts Om Blood Bank,Maharashtra,Pune,Pune,256839,10389,1953,1158,1599,1110,349,1731,1964,525,3352,Pune,427867,7827582163,,Government,YES,24x7
1508,District Civil Surgeon Blood Bank,Maharashtra,Raigad,Alibag,100572,8810,715,424,350,1146,1748,1964,509,1954,663,"District Hospital Blood Bank, Civil Hospital Campus, Sea Face Road, Alibag  ",255469,7752158193,bloodbankalibag@gmail.com,Charity,YES,24x7
1509,Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,Maharashtra,Raigad,Mahad,217152,7486,1124,954,1099,1720,260,386,1701,242,444,"C.S. No. 1651, Near Lokmanya Vyayamshala, Shiwaji Chowk, Mahad, Raigad",286532,8386100006,jkrp_mahad@redifmail.com,Charity,NO,12x7
1510,M.B. More Foundation Blood Bank,Maharashtra,Raigad,Mangaon,115556,7623,697,1365,231,503,1159,297,1383,1988,827,"Ghar. No. 412, 1st Floor, Mangaon, Morba Road, Opposite to Civil Hospital, Mangaon, Raigad
",288017,9957413163,,Private,YES,24x7
1511,Advanced Centre for Treatment Reasearch and Education in Cancer,Maharashtra,Raigad,Navi Mumbai,256256,8329,634,1011,151,1759,1266,698,1803,1007,266,"Owe Village, Sector 22, Plot No. 2, Kharghar, Navi Mumbai ",389311,6262242624,transmed.dept@actrec.gov.in,Government,YES,24x7
1512,M/s. Navi Mumbai Blood Bank,Maharashtra,Raigad,Navi Mumbai,41499,12208,1794,1668,1856,1999,1794,1822,302,973,3184,"Navi Mumbai Blood Bank, Vishwanath Bhavan, C-87, Sector 12, Kharghar, Navi Mumbai",226647,9733877004,navimumbaibb@gmail.com,Government,NO,24x7
1513,Shree Sai Blood Bank & Component,Maharashtra,Raigad,Panvel,60228,6449,1979,1075,149,1894,424,310,438,180,3730,"103,104,105,1st Floor Tirthraj Building, Old Thana Naka Road, Near Taluka Police Station,  Old Panvel, Raigad",281885,9941188596,,Private,NO,24x7
1514,Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,Maharashtra,Raigad,Raigad,130589,6687,1419,321,731,1184,172,871,117,1872,1981,"Plot No-8, Sect.1, Khanda Colony, Mumbai Pune Road, New Panvel (W) ",446435,8572593521,rotarybloodbank.newpanvel@gmail.com,Charity,YES,24x7
1515,Civil Surgeon - General Hospital Blood Bank,Maharashtra,Ratnagiri,Ratnagiri,115468,11009,697,1897,1809,1769,91,1475,1301,1970,1343,"Civil Hospital, Ratnagiri",341412,7337986590,bloodbank.ghr123@gmail.com,Government,YES,24x7
1516,Shree Swami Samarth Blood Bank,Maharashtra,Ratnagiri,Ratnagiri,80258,10058,1167,213,1885,1177,1018,1504,1644,1450,3242,"B.K.L.Walwalkar Hospital Diagnostic & Research Centre, Shree Kshetra Darvan, Chiplun, Ratnagiri",303965,7206329125,bloodbank@walawalkarhospital.com,Charity,YES,12x7
1517,Indian Red Cross Society Blood Bank,Maharashtra,Ratnagiri,Ratnagiri,77468,6958,1059,317,1981,615,403,326,499,1758,2332,"Khareghat Road, Ratnagiri",347911,8015071046,redcrossratnagiri@rediffmail.com,Private,YES,24x7
1518,Indian Red Cross Blood Bank,Maharashtra,Ratnagiri,Ratnagiri,258553,3887,531,1224,602,892,222,121,205,90,1323,Ratnagiri,217496,8463171289,,Government,NO,24x7
1519,Prakash Blood Bank & Blood Component Seperation Unit,Maharashtra,Sangli,Sangli,62574,6590,1517,1706,332,1955,69,616,350,45,3522,"Prakash Shikshan Mandal&#39;s Prakash Hospital & Research Centre, Islampur Sangli Road, Uran - Islampur, Tal -Walwa, Dist- Sangli (Ms)
",397101,8312994290,,Charity,NO,24x7
1520,Padmabhushan Vasantdada Patil Government Hospital Blood Bank,Maharashtra,Sangli,Sangli,213927,6974,1395,1013,634,175,391,285,1703,1378,1209,"Padmabhushan Vasantdada Patil Government Hospital , Blood Bank, Dr. Ambedkar Road, Sangli .                                         
",414655,9739183142,sanglicivilbb@gmail.com,Government,NO,24x7
1521,Rajaram Bapu Blood Bank,Maharashtra,Sangli,Sangli,101888,10214,1457,1947,1396,1609,1485,1773,426,121,2179,"Islampur C.S. No. 99/1, Near Islampur Spiral CT-Scan,
Peth-Sangli Road
",379239,9318556694,rajarambapu.bloodbank@rediffmail.com,Government,YES,24x7
1522,Vasantdada Patil Blood Bank and Haematology Research Centre,Maharashtra,Sangli,Sangli,11811,7523,1198,1794,1154,1084,551,713,964,65,756,"AIP - Miraj, Mirasaheb Shopping Complex,  Opposite to City Police Station, Miraj, Sangli",462243,9259453271,svpbb1984@rediffmail.com,Government,YES,24x7
1523,Miraj Medical Centre - Wanless Hospital Blood Bank,Maharashtra,Sangli,Sangli,104394,6944,1069,1922,32,1057,659,165,500,1540,1221,"Wanless Hospital Blood Bank, Medical Centre, Miraj",508036,6547088206,,Charity,YES,24x7
1524,Jeevan Rekha Charitable Trust Blood Bank,Maharashtra,Sangli,Sangli,51676,4459,182,1289,519,215,831,869,139,415,2274,"H. No. 329/E, Ward No. 5, 1st Floor, Umrani Road, A/p-jath, Sangli
",474032,7096319018,,Charity,NO,12x7
